,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.06083323,0.15185776,0.02981363,1.7482414,2.5529451,0.23517409,-0.12567158,0.28336322,0.02169577,-0.83383155,0.37663534,0.72812355,0.54670584,0.5327,-0.18459794,0.11353604,0.2921036,0.45362946,0.39799976
1,0.24404128,0.91009635,1.220712,0.4522924,0.7960168,0.11060163,0.8117039,0.14766534,-0.38008136,-1.0464214,0.6758986,0.37123838,1.13534,0.11914707,0.37398487,0.10531356,0.0683926,-0.0035746098,-0.18656038
2,0.03897436,0.4841457,0.542696,1.0216943,1.8585526,-0.0995933,0.2455966,-0.09148984,-0.46243405,-1.0380032,0.056823745,-0.6786151,0.059955895,0.04024072,0.047355622,0.6449756,0.14448419,-0.03373921,0.24530126
3,0.04006284,0.51944876,0.09459763,1.3807961,1.7866123,-0.19246973,0.26735795,0.3621756,0.21119177,-0.786564,0.82295185,0.16002092,1.0504206,0.4591773,0.78607106,0.6348125,0.467376,0.028553098,0.17147914
4,0.05890889,0.5398078,0.26697475,0.69141364,0.6946047,-0.11509925,0.30768186,0.17709914,-0.08591479,-0.21263078,0.6334274,0.3755696,1.1229877,0.100389406,-0.024501115,-0.08508902,-0.34932092,0.24859029,0.12426854
5,0.0,0.28022727,0.00823259,1.3959675,1.6555387,0.0036681,-0.02216599,0.37273008,-0.09663568,-0.6860796,0.47025645,0.45317087,0.22167915,0.43729457,-0.37133592,0.13087398,-0.14328039,0.266217,-0.04096759
6,0.02056428,0.9622525,0.9614379,0.74073255,1.9946443,0.03577534,-0.37850982,0.36861554,0.18808393,-0.5876104,0.45493087,-0.26117888,1.043576,0.2323587,1.0612923,0.01280747,0.9897117,0.4698916,-0.19282824
7,0.04082059,0.4238117,0.01715469,0.65505713,2.229474,-0.10465971,-0.17627226,0.43119702,-0.03807867,-0.48507118,0.0007805824,-0.49592853,0.6566166,0.058783174,0.9440975,0.0222401,0.91279894,0.60476786,-0.07571339
8,0.0,0.4943409,0.04864116,0.7024833,1.7637379,1.2715743,-0.5136388,-0.09232637,0.10634359,0.19115344,-0.0031868815,-0.3412561,-0.08204067,0.09630878,0.8710084,-0.47434995,0.2430247,0.85331184,0.39530814
9,0.02026925,0.47917283,0.00919182,0.38527882,1.4769378,0.669958,-0.5294882,-0.07881777,-0.2719029,0.26140925,0.57253367,-0.19576155,0.32667986,-0.40684956,0.85592127,-0.42035154,0.03026877,0.11713234,0.7036205
10,0.3088504,0.78867954,1.2984891,-0.04575898,0.35617116,0.32923287,0.27822652,-0.08307921,-0.16526468,0.29244283,0.84632874,-0.11193416,0.41111568,-0.46581328,0.6543776,-0.12721007,-0.21128507,0.26930907,0.47661966
11,0.0,0.00710048,0.00755839,1.2768747,3.7315958,0.5066281,-0.11876237,-0.11861446,0.005227,0.01517227,0.50487304,-0.07592956,-0.44732344,-0.41331846,0.53234833,-0.23525049,0.29362094,0.25413322,0.4856781
12,0.06097413,0.38765925,0.00094504,1.9155583,2.0268922,0.04821611,-0.26148242,0.2930489,-0.25734016,-0.80379015,0.7194671,0.27636358,0.29289746,0.6770856,0.1465452,0.4011241,0.06960381,-0.29294416,0.07334081
13,0.02005389,0.8817089,0.8500348,0.9633968,1.8850167,0.10340045,0.01385419,0.14609799,-0.59858215,-1.4074297,0.28912392,-0.10811524,0.88408643,0.21828587,0.71391696,0.20586342,0.1961481,-0.36884183,0.02600618
14,0.02054804,0.9099335,1.1808126,0.118337795,1.2714666,0.3343294,-0.7278098,-0.0209057,-1.0047612,-0.7530563,0.6273577,-0.29347578,0.93393683,1.0856507,1.4055604,0.04439202,0.58766097,0.24508521,-0.15361014
15,0.3293773,0.9568607,1.3043073,0.3082822,0.43013018,0.16873172,0.28721857,0.16732395,-0.47102192,-0.93416804,0.6214567,-0.761338,0.5859764,0.6860955,1.1179776,0.18039808,0.02642642,0.11780843,-0.509922
16,0.02043496,0.09661523,0.02967792,-5.9894753,5.348688,7.574306,0.19931512,9.177704,2.2062218,-2.3439205,2.2895954,-2.1084707,0.0017869473,3.2263758,-2.2180018,6.4161563,-0.55695945,-1.6839378,2.8466318
17,0.0,1.0414475,1.327687,0.79604006,1.7295126,0.8236299,-0.28902614,-0.5351509,-0.03137022,-0.49108854,0.6775781,-0.5093489,1.4664574,0.84953964,1.7883569,0.6736083,-0.30710748,0.075235456,-0.3817086
18,0.24219029,0.387426,0.01961875,-9.695083,4.1752386,9.809505,0.4753352,13.394647,3.6694071,-2.4472442,3.6512818,-2.4414902,0.15878737,4.2662797,-3.4699056,8.653038,-0.48484603,-1.7527587,3.7322896
19,0.10019273,0.4671736,0.17907633,0.5994309,1.5010623,0.48574862,0.289196,-0.44355035,0.21161395,-0.45571753,0.57259744,-0.34028742,0.78771186,0.30384767,0.6856278,0.12217245,0.2229607,-0.2693764,0.15926622
20,0.08180577,0.6684265,0.04748846,0.6564763,1.7910116,0.6095707,-0.35839278,-0.46644038,-0.07477089,-0.8126799,0.404764,-0.58081645,0.68880814,0.3777632,1.4638381,0.60455596,0.24689977,-0.19241378,-0.3447921
21,0.0,0.32792625,0.13142689,2.0781527,3.7878118,1.4132364,-0.7139337,-0.83262485,-0.12206002,-1.3494939,0.76399577,-0.4252513,1.2845504,0.93155587,2.0370464,0.9333767,-0.10379835,-0.35395682,0.14273614
22,0.0,0.83155376,0.68333125,-4.3060217,2.7352238,5.341957,0.19406281,5.950277,1.3328701,-2.1708667,2.2008896,-1.5915082,0.44673783,2.2886546,-0.4240094,4.853324,-0.56187284,-1.2244127,2.1747313
23,0.01954912,0.0315301,0.06950438,0.93684834,2.8940895,0.77033025,-0.7379004,-0.68022436,0.627011,-1.3221872,0.04494571,-0.6128711,0.028033894,0.8584961,0.7868217,0.05679092,0.38747782,-0.36583742,-0.54955214
24,0.3088504,0.82179993,1.2849066,-0.10354157,-0.143141,-0.04607438,0.43506867,-0.18191516,-0.24454923,0.31199768,0.50205636,0.50968665,1.6389313,-0.52577287,0.4477195,-0.50968343,-0.03840549,0.13134226,-0.2982912
25,0.34990278,1.1980964,1.2849066,-0.45328453,-0.035422802,0.22665077,0.40235925,0.08909015,-0.16323553,0.26020318,0.5755937,0.47246477,1.7755957,-0.49759847,0.36256889,-0.36217985,0.1157794,0.1740445,-0.29609704
26,0.02012068,0.26271182,0.01823985,2.0493605,3.2030516,0.22246204,-0.12758097,0.09606507,-0.4108079,-1.2812588,-0.08427939,-0.9527264,0.31711966,-0.15182349,0.19958471,0.5968816,0.27893987,-0.1160871,0.227315
27,0.3088504,0.7731955,1.5658671,0.32460633,0.15440162,0.01500401,0.34607002,0.11726335,-0.37409994,-0.57585603,0.5500103,-0.13259535,0.98091704,-0.54481107,0.36200538,0.5788204,-0.05488363,0.13036263,0.11706879
28,0.32938743,0.7779513,1.3585719,0.34477958,-0.19981739,0.27821884,0.23878893,-0.2612781,-0.10434049,0.26698625,0.42520657,0.15844704,1.090335,-0.18932933,0.86640906,0.10979686,-0.92056125,-0.43043151,0.00305925
29,0.03984807,0.66357034,0.32291564,0.90003955,0.40397558,-0.04087072,-0.26744747,-0.34793293,-0.16121285,0.44320276,0.22823475,0.20048691,1.0970643,-0.41136584,0.80446184,-0.00815221,-0.95971984,-0.41371727,0.00639323
30,0.0,0.78344023,0.86648387,0.36842138,1.0376176,0.14312921,-0.39261615,0.28856528,-0.43464297,-0.58091986,0.15343648,-0.09265061,1.172064,0.10231237,0.6426509,0.02969582,0.4685292,0.17899698,-0.0004857
